ID,词,NUM,chinese_text,图,词性,explain,eng_text,jp_text,ara_text,fr_text,de_text,pt_text,spa_text,ru_text
70110,骚,,骚,"乱,希望,性",A,,,,,,,,,
70125,无情,,无情,"缺少A,感情",A,,,,,,,,,
70130,天真,1,纯真,"真,简单",A,,,,,,,,,
70132,纯洁,,纯洁,干净,A,,,,,,,,,
70138,清白,,清白,干净,A,,,,,,,,,
70146,贞,,贞,干净,A,,,,,,,,,
70150,矮胖,,矮胖,"粗,低",A,,,,,,,,,
70154,矮,,矮,"短,低",A,,,,,,,,,
70164,高,2,高,"长,高",A,,,,,,,,,
70165,高,3,净高,"数量,长,高",N,,,,,,,,,
70170,参天,,参天,"高,很",A,,,,,,,,,
70189,巍峨,,巍峨,"大,高",A,,,,,,,,,
70197,瘦长,,瘦长,"细,长",A,,,,,,,,,
70199,修长,,修长,"细,长",A,,,,,,,,,
70205,颀长,,颀长,"细,长",A,,,,,,,,,
70209,大量,2,大度,"强,能力,心情",A,,,,,,,,,
70213,大度,,大度,"强,能力,心情",A,,,,,,,,,
70217,豁达,,豁达,"强,能力,心情",A,,,,,,,,,
70225,慷慨,,慷慨,"强,能力,心情",A,,,,,,,,,
70232,义气,,义气,"强,能力,心情",A,,,,,,,,,
70241,正,4,端正,"正,中",A,,,,,,,,,
70242,公正,,公正,"也V,对待",A,,,,,,,,,
70243,正,5,正（位置）,"正确,位置",A,,,,,,,,,
70246,公,5,公正,"ZA,也V,对待",AD,,,,,,,,,
70247,负,1,反,反,A,,,,,,,,,
70275,大公无私,,大公无私,"不,A注意,自己",A,,,,,,,,,
70279,自我牺牲,,自我牺牲,"给,尊重,自己",A,,,,,,,,,
70291,廉,1,廉洁,"真,风格,权力",A,,,,,,,,,
70293,廉洁,,廉洁,"真,风格,权力",A,,,,,,,,,
70295,克己,,克己,"限制,自己",A,,,,,,,,,
70305,严格,,严格,"认真,强",A,,,,,,,,,
70307,严,1,严格,"认真,强",A,,,,,,,,,
70320,不公,,不公,"也V,对待,不",A,,,,,,,,,
70324,贪婪,,贪婪,"多,要求,得到,太",A,,,,,,,,,
70326,贪,1,(动词),"要求,得到,多,太",V,,,,,,,,,
70328,贪,2,(形容词),"多,要求,得到,太",A,,,,,,,,,
70345,抠,3,吝啬,"太,A节约",A,,,,,,,,,
70356,私,3,自私,"只A,注意,自己",A,,,,,,,,,
70357,自私,,自私,"注意,只,利益,自己",A,,,,,,,,,
70359,自私自利,,自私自利,"只,A注意,自己",A,,,,,,,,,
70363,利己,,利己,"ZV,利益,自己",A,,,,,,,,,
70371,无穷,,无穷,"无A,结束",A,,,,,,,,,
70375,无尽,,无尽,"无A,结束",A,,,,,,,,,
70377,无穷无尽,,无穷无尽,"无A,结束",A,,,,,,,,,
70396,广,,广,广泛,A,,,,,,,,,
70401,泛,2,普通,普通,A,,,,,,,,,
70406,主观,,主观,"自己,认为N",A,,,,,,,,,
70408,片面,,片面,"全,方面,不",A,,,,,,,,,
70410,窄,1,狭窄,"细,空间",A,,,,,,,,,
70412,狭窄,,狭窄,"细,空间",A,,,,,,,,,
70414,狭隘,,狭隘,"细,空间",A,,,,,,,,,
70416,狭,,狭,"细,空间",A,,,,,,,,,
70420,全面,,全面,"全,方面",A,,,,,,,,,
70438,完善,2,完善的,"好,全",A,,,,,,,,,
70444,统筹兼顾,,统筹兼顾,"注意,全",A,,,,,,,,,
70446,包罗万象,,包罗万象,"全,方面",A,,,,,,,,,
70452,一揽子,,一揽子,"组,1",A,,,,,,,,,
70458,严密,,严密,"紧,详细",A,,,,,,,,,
70460,周密,,周密,"紧,详细",A,,,,,,,,,
70462,严谨,,严谨,"认真,详细",A,,,,,,,,,
70468,紧密,,紧密,"紧,很",A,,,,,,,,,
70470,致密,,致密,"紧,详细",A,,,,,,,,,
70476,有机,1,生命的,"成分,生物",A,,,,,,,,,
70479,一体,,一体,"体,1",N,,,,,,,,,
70481,连贯,1,紧凑,"紧,连接",A,,,,,,,,,
70483,连环,,连环,"连接,组",A,,,,,,,,,
70493,下贱,,下贱,"低,位置,社会",A,,,,,,,,,
70495,卑贱,,卑贱,"低,位置,社会",A,,,,,,,,,
70499,低,2,弱,弱,A,,,,,,,,,
70502,卑,,卑,"低,位置,社会",A,,,,,,,,,
70507,卑下,1,卑微,"低,位置,社会",A,,,,,,,,,
70515,贱,1,卑贱,"低,位置,社会",A,,,,,,,,,
70525,廉价,,廉价,"低,价格",A,,,,,,,,,
70527,贱,2,便宜,"低,价格",A,,,,,,,,,
70528,低廉,,低廉,"低,价格",A,,,,,,,,,
70530,廉,2,便宜,"低,价格",A,,,,,,,,,
70535,宝贵,,宝贵,"好,重要",A,,,,,,,,,
70537,贵重,,贵重,"重要,高,价格",A,,,,,,,,,
70539,名贵,,名贵,"价格,高,名,广泛",A,,,,,,,,,
70556,黄金,2,很好,"好,很",A,,,,,,,,,
70561,珍贵,,珍贵,"好,重要,少",A,,,,,,,,,
70563,珍,,珍,"好,重要,少",A,,,,,,,,,
70565,贵,1,贵,"高,价格",A,,,,,,,,,
70569,昂贵,,昂贵,"高,价格,很",A,,,,,,,,,
70582,当家作主,,当家作主,"人,得到,成为",A,,,,,,,,,
70586,尊贵,,尊贵,"位置,社会,高",A,,,,,,,,,
70588,上流,,上流,"位置,社会,高",A,,,,,,,,,
70590,高高在上,,高高在上,"位置,社会,高",A,,,,,,,,,
70600,贵,2,你,你,R,,,,,,,,,
70602,玉,2,美,美,A,,,,,,,,,
70603,贤,,贤,好,A,,,,,,,,,
70605,惠,,惠,好,A,,,,,,,,,
70609,滞,,滞,"阻止,慢",V,,,,,,,,,
70617,默默无闻,,默默无闻,"无,知道",A,,,,,,,,,
70623,著名,,著名,"广泛,名",A,,,,,,,,,
70629,名,3,著名,"广泛,名",A,,,,,,,,,
70643,举世闻名,,举世闻名,"名,广泛,很",A,,,,,,,,,
70647,举世瞩目,,举世瞩目,"世界,A注意",A,,,,,,,,,
70663,红,3,热,热,A,,,,,,,,,
70666,俏,1,美,美,A,,,,,,,,,
70672,吃香,,吃香,"好,味,吃",A,,,,,,,,,
70680,完美,,完美,"好,全",A,,,,,,,,,
70682,上好,,上好,好,A,,,,,,,,,
70699,高强,,高强,"好,很",A,,,,,,,,,
70711,优越,,优越,"好,超过",A,,,,,,,,,
70713,优惠,,优惠,"对待,利益,多,更",A,,,,,,,,,
70717,可喜,,可喜,"可以A,高兴",A,,,,,,,,,
70721,艳,,艳,"色,强",A,,,,,,,,,
70723,地道,1,好,好,A,,,,,,,,,
70739,可爱,,可爱,"容易,喜欢",A,,,,,,,,,
70741,迷人,,迷人,"吸,喜欢",A,,,,,,,,,
70751,乖,,乖,"可以A,喜欢",A,,,,,,,,,
70755,高,4,强,强,A,,,,,,,,,
70756,神,3,神奇,"好,特殊,很",A,,,,,,,,,
70758,精,1,很好,"好,很",A,,,,,,,,,
70759,精,2,精华,"部分,好,最",N,,,,,,,,,
70760,妙,,妙,"好,很",A,,,,,,,,,
70763,优,,优,"好,很",A,,,,,,,,,
70765,棒,2,好,好,A,,,,,,,,,
70766,圣,,圣,"好,神",A,,,,,,,,,
70768,佳,,佳,好,A,,,,,,,,,
70770,良,,良,好,A,,,,,,,,,
70774,优秀,,优秀,"好,很",A,,,,,,,,,
70780,巧妙,,巧妙,"好,灵活",A,,,,,,,,,
70793,不坏,,不坏,"坏,不",A,,,,,,,,,
70803,精练,,精练,"清楚,简单",A,,,,,,,,,
70807,可嘉,,可嘉,"可以A,评价,好",V,,,,,,,,,
70817,差,1,坏,坏,A,,,,,,,,,
70819,次,3,不太好,"坏,稍",A,,,,,,,,,
70820,糟,,糟,坏,A,,,,,,,,,
70822,赖,3,坏,坏,A,,,,,,,,,
70823,鬼,2,坏,坏,A,,,,,,,,,
70826,不好,,不好,"好,不",A,,,,,,,,,
70836,不妙,,不妙,"好,不",A,,,,,,,,,
70842,蹩脚,,蹩脚,坏,A,,,,,,,,,
70856,恶劣,,恶劣,"坏,很",A,,,,,,,,,
70858,劣,,劣,坏,A,,,,,,,,,
70866,歹,,歹,坏,A,,,,,,,,,
70885,怕人,1,怕,"ZA,怕",A,,,,,,,,,
70887,触目惊心,,触目惊心,"ZA,怕",A,,,,,,,,,
70891,骇人听闻,,骇人听闻,"很,A怕",A,,,,,,,,,
70906,可憎,,可憎,"反,A喜欢",A,,,,,,,,,
70918,光滑,,光滑,"顺,面",A,,,,,,,,,
70920,光,4,光滑,"顺,面",A,,,,,,,,,
70923,滑,1,光滑,"顺,面",A,,,,,,,,,
70925,光溜溜,,光溜溜,"顺,面",A,,,,,,,,,
70933,麻,2,粗糙,"顺,面,反",A,,,,,,,,,
70934,粗糙,1,粗糙,"顺,面,反",A,,,,,,,,,
70936,糙,,糙,"顺,面,反",A,,,,,,,,,
70938,急,1,紧急,"紧,时间",A,,,,,,,,,
70940,紧急,,紧急,"紧,时间,很",A,,,,,,,,,
70944,紧,2,(动词),"使,紧",V,,,,,,,,,
70945,迫,,迫,强迫,A,,,,,,,,,
70949,逼人,,逼人,"人,要求,强迫",V,,,,,,,,,
70951,急迫,,急迫,"紧,时间,心情",A,,,,,,,,,
70957,亟,,亟,"紧,时间",A,,,,,,,,,
70975,紧张,,紧张,"紧,心情",A,,,,,,,,,
70981,白热化,,白热化,"强,快",A,,,,,,,,,
71000,坚定不移,,坚定不移,"固定,强",A,,,,,,,,,
71002,锲而不舍,,锲而不舍,"固定,强",A,,,,,,,,,
71004,果断,,果断,"快,固定",A,,,,,,,,,
71017,斩钉截铁,,斩钉截铁,"固定D,很",A,,,,,,,,,
71031,毅,,毅,固定,A,,,,,,,,,
71039,坚,1,坚定,"固定,强",A,,,,,,,,,
71041,坚贞,,坚贞,"固定,强",A,,,,,,,,,
71043,坚忍,,坚忍,"固定,强",A,,,,,,,,,
71047,刚毅,,刚毅,固定,A,,,,,,,,,
71049,傲然,,傲然,"高,态度",A,,,,,,,,,
71060,剐,,剐,"坏V,物,尖锐",A,,,,,,,,,
71072,坚强,,坚强,"强,固定",A,,,,,,,,,
71083,顽,,顽,"固定,强",A,,,,,,,,,
71089,英勇,,英勇,勇敢,A,,,,,,,,,
71091,勇,,勇,勇敢,A,,,,,,,,,
71095,无畏,,无畏,勇敢,A,,,,,,,,,
71097,见义勇为,,见义勇为,"帮助,危险,勇敢",V,,,,,,,,,
71101,勇武,,勇武,勇敢,A,,,,,,,,,
71109,悍,,悍,勇敢,A,,,,,,,,,
71115,敢,2,勇敢的,勇敢,A,,,,,,,,,
71157,脆弱,,脆弱,"弱,容易,坏",A,,,,,,,,,
71159,懦弱,,懦弱,"弱,怕",A,,,,,,,,,
71172,胆怯,,胆怯,"容易,怕",A,,,,,,,,,
71174,胆小,,胆小,"容易,怕",A,,,,,,,,,
71176,怯生生,,怯生生,"容易,怕",A,,,,,,,,,
71178,怯懦,,怯懦,"弱,怕",A,,,,,,,,,
71193,勤俭,,勤俭,"ZA,节约",A,,,,,,,,,
71197,精打细算,,精打细算,"计划,详细",V,,,,,,,,,
71199,节俭,,节俭,"ZA,节约",A,,,,,,,,,
71211,浪费,1,(动词),"节约,反",V,,,,,,,,,
71218,铺张浪费,,铺张浪费,"节约,反",A,,,,,,,,,
71225,奢,,奢,"不A,A节约",A,,,,,,,,,
71246,无力,,无力,"无,力",V,,,,,,,,,
71248,软弱,,软弱,"软,弱",A,,,,,,,,,
71264,娇嫩,,娇嫩,"新,弱",A,,,,,,,,,
71270,娇小,,娇小,"美,小",A,,,,,,,,,
71284,健康,2,健康,"情况,体,好",N,,,,,,,,,
71284,健康,1,健康的,"好,情况,体",N,,,,,,,,,
71287,康,2,健康,"好,情况,体",A,,,,,,,,,
71288,身心健康,,身心健康,"情况,想,体,好",A,,,,,,,,,
71292,壮,1,强壮,强,A,,,,,,,,,
71298,健,,健,"好,情况,体",A,,,,,,,,,
71300,强健,,强健,"体,好,强",A,,,,,,,,,
71302,茁壮,,茁壮,"生长,旺盛",A,,,,,,,,,
71304,身强力壮,,身强力壮,"体,强",A,,,,,,,,,
71317,硬朗,,硬朗,强,A,,,,,,,,,
71319,脏,1,肮脏,"干净,反",A,,,,,,,,,
71321,肮脏,,肮脏,"干净,反",A,,,,,,,,,
71323,污秽,2,(形容词),"干净,反",A,,,,,,,,,
71324,污,,污,"干净,反",A,,,,,,,,,
71337,清洁,1,清扫,"使,干净",V,,,,,,,,,
71346,净,1,干净,干净,A,,,,,,,,,
71349,清爽,,清爽,"感觉,好,干净",A,,,,,,,,,
71354,洁,,洁,干净,A,,,,,,,,,
71360,严严实实,,严严实实,紧,A,,,,,,,,,
71365,严,2,紧,紧,A,,,,,,,,,
71369,散,2,松散,"松,分",A,,,,,,,,,
71371,弛,,弛,松,A,,,,,,,,,
71380,松,3,松树,"树,片,松,尖锐",N,,,,,,,,,
71381,泡,3,松,松,A,,,,,,,,,
71382,糠,,糠,"部件,外,物,吃,基础A",A,,,,,,,,,
71386,传统,2,传统的,"旧,传,习惯",A,,,,,,,,,
71392,保守,,保守,"主动,反,安全",A,,,,,,,,,
71394,陈腐,,陈腐,"弱,旧",A,,,,,,,,,
71398,闭关自守,,闭关自守,"ZA,关,不,发展",A,,,,,,,,,
71400,迂,,迂,"不A,A发展",A,,,,,,,,,
71413,专制,,专制,"1A,操作,强迫",A,,,,,,,,,
71417,专断,,专断,"强迫,1D,A操作",A,,,,,,,,,
71419,独断,,独断,"强迫,1D,A操作",A,,,,,,,,,
71421,专权,,专权,"强迫,1D,A操作",A,,,,,,,,,
71431,横,3,蛮横,"恶,自由D",A,,,,,,,,,
71435,横行,,横行,"做,粗野",A,,,,,,,,,
71437,蛮,1,野蛮,粗野,A,,,,,,,,,
71439,泼,2,泼辣,粗野,A,,,,,,,,,
71442,蛮横,,蛮横,"恶,自由D",A,,,,,,,,,
71448,专横,,专横,"恶,自由D",A,,,,,,,,,
71452,跋扈,,跋扈,"恶,自由D",A,,,,,,,,,
71479,反动,,反动,"发展,反",A,,,,,,,,,
71485,落伍,,落伍,"跟随,不,旧",A,,,,,,,,,
71488,红,2,红色,"色,红",N,,,,,,,,,
71490,激进,,激进,"兴奋,发展,紧",A,,,,,,,,,
71499,好胜,,好胜,"成功,斗争,喜欢",A,,,,,,,,,
71507,先进,,先进,"高,发展",A,,,,,,,,,
71517,开通,,开通,"开始,可以,经过",V,,,,,,,,,
71519,民主,,民主,"一起,选择",A,,,,,,,,,
71543,粗,2,粗糙,"顺,面,反",A,,,,,,,,,
71548,粗劣,,粗劣,乱,A,,,,,,,,,
71550,粗陋,,粗陋,乱,A,,,,,,,,,
71555,豪华,,豪华,"美,多,资金",A,,,,,,,,,
71557,华,1,中国,"国家,C,N",NS,,,,,,,,,
71559,华,2,美,美,A,,,,,,,,,
71560,富丽,,富丽,"美,多,资金",A,,,,,,,,,
71564,堂皇,,堂皇,"美,多,资金",A,,,,,,,,,
71568,阔,2,富,"充分,资金",A,,,,,,,,,
71571,阔气,,阔气,"充分,资金",A,,,,,,,,,
71573,阔绰,,阔绰,"充分,资金",A,,,,,,,,,
71577,简陋,,简陋,"坏,简单",A,,,,,,,,,
71580,陋,1,简陋,"坏,简单",A,,,,,,,,,
71582,精,3,精细,"正确,详细",A,,,,,,,,,
71583,精致,,精致,"好,详细",A,,,,,,,,,
71585,精巧,,精巧,"好,详细,灵活",A,,,,,,,,,
71595,精细,,精细,"正确,详细",A,,,,,,,,,
71597,细密,1,细密,"紧,详细",A,,,,,,,,,
71603,考究,1,精美,好,A,,,,,,,,,
71623,朴素,,朴素,"简单,节约",A,,,,,,,,,
71630,朴,,朴,"简单,A节约",A,,,,,,,,,
71632,无华,,无华,简单,A,,,,,,,,,
71640,久,,久,"长,时间",A,,,,,,,,,
71644,悠久,,悠久,"长,时间,很",A,,,,,,,,,
71646,好久,1,多久,"什么,长,时间",D,,,,,,,,,
71648,好久,2,很久,"长,时间,很",A,,,,,,,,,
71649,久久,,久久,"长,时间,很",A,,,,,,,,,
71651,许久,,许久,"时间,长,很",A,,,,,,,,,
71653,久远,,久远,"长,时间,很",A,,,,,,,,,
71655,良久,,良久,"长,时间,很",A,,,,,,,,,
71673,整天,,整天,"日,全",N,,,,,,,,,
71677,终日,,终日,"全,日",A,,,,,,,,,
71681,一天到晚,,一天到晚,"全,日",A,,,,,,,,,
71689,通宵,,通宵,"日,黑,全",N,,,,,,,,,
71695,宵,,宵,"日,黑",A,,,,,,,,,
71703,永远,,永远,"一直,固定",D,,,,,,,,,
71705,永恒,,永恒,"固定,一直",A,,,,,,,,,
71709,永,,永,"一直,固定",A,,,,,,,,,
71716,世世代代,,世世代代,"级,家,一直,固定",A,,,,,,,,,
71718,万年,,万年,"年,千,十",A,,,,,,,,,
71737,长期,,长期,"时间,段,长",N,,,,,,,,,
71739,多年来,,多年来,"以前N,年,多",A,,,,,,,,,
71741,多时,,多时,"长,时间",A,,,,,,,,,
71743,中长期,,中长期,"时间,段,长,中",A,,,,,,,,,
71747,长期以来,,长期以来,"时间,长,以前",N,,,,,,,,,
71751,源远流长,,源远流长,"经过N,旧,长",A,,,,,,,,,
71761,漫长,,漫长,"长,时间,很",A,,,,,,,,,
71773,多年,,多年,"年,多",N,,,,,,,,,
71781,半天,,半天,"日,半",N,,,,,,,,,
71783,半晌,,半晌,"日,半",A,,,,,,,,,
71787,一刻,1,片刻,"时间,短",N,,,,,,,,,
71789,片刻,,片刻,"时间,短",0,,,,,,,,,
71793,一阵子,,一阵子,"时间,短",0,,,,,,,,,
71795,顷,1,短促,"时间,短",A,,,,,,,,,
71797,须臾,,须臾,"时间,短",A,,,,,,,,,
71799,少顷,,少顷,"时间,短",A,,,,,,,,,
71817,瞬间,,瞬间,"时间,短,很",N,,,,,,,,,
71821,瞬时,,瞬时,"时间,短,很",0,,,,,,,,,
71825,霎时,,霎时,"时间,短,很",A,,,,,,,,,
71827,刹那,,刹那,"时间,短,很",A,,,,,,,,,
71829,转瞬,,转瞬,"时间,短,很",A,,,,,,,,,
71831,瞬息,,瞬息,"时间,短,很",A,,,,,,,,,
71833,瞬,,瞬,"时间,短,很",A,,,,,,,,,
71857,暂,,暂,暂时,0,,,,,,,,,
71859,暂行,,暂行,"进行,暂时",V,,,,,,,,,
71868,短暂,,短暂,"短,暂时",A,,,,,,,,,
71871,短促,,短促,"时间,紧,短",A,,,,,,,,,
71873,局促,,局促,"紧,限制",A,,,,,,,,,
71883,速,1,快,快,D,,,,,,,,,
71885,速,2,速度,"数量,快",A,,,,,,,,,
71886,过快,,过快,"快,太",A,,,,,,,,,
71888,飞,2,快,快,D,,,,,,,,,
71899,火速,,火速,"快,很",A,,,,,,,,,
71901,迅,,迅,快,A,,,,,,,,,
71906,疾,2,快,"快,很",A,,,,,,,,,
71915,一溜烟,,一溜烟,"快,很",A,,,,,,,,,
71924,急,3,快,"快,紧",AD,,,,,,,,,
71926,急促,,急促,"快,紧",A,,,,,,,,,
71932,急骤,,急骤,"快,紧",A,,,,,,,,,
71936,急遽,,急遽,"快,紧",A,,,,,,,,,
71940,敏捷,,敏捷,"快,灵活",A,,,,,,,,,
71942,敏,,敏,"快,灵活",A,,,,,,,,,
71948,轻捷,,轻捷,快,A,,,,,,,,,
71950,干净利落,,干净利落,"好,快",A,,,,,,,,,
71964,缓缓,,缓缓,慢,A,,,,,,,,,
71966,徐徐,,徐徐,慢,A,,,,,,,,,
71968,悠悠,,悠悠,慢,A,,,,,,,,,
71976,慢吞吞,,慢吞吞,慢,A,,,,,,,,,
71978,慢条斯理,,慢条斯理,慢,A,,,,,,,,,
71984,迟缓,,迟缓,慢,A,,,,,,,,,
71986,迟迟,,迟迟,"以后D,一直",A,,,,,,,,,
71998,徐,2,慢,慢,A,,,,,,,,,
71999,款,2,条款,"段,规则",N,,,,,,,,,
72000,款,3,款式,种类,Q,,,,,,,,,
72001,款,4,慢,慢,A,,,,,,,,,
72002,慢性,0,慢性格,"慢,习惯",A,,,,,,,,,
72003,缓,1,慢,慢,A,,,,,,,,,
72007,广阔,,广阔,"大,广泛",A,,,,,,,,,
72010,阔,1,广泛,"大,广泛",A,,,,,,,,,
72022,宽阔,,宽阔,"大,松",A,,,,,,,,,
72026,旷,,旷,"大,无A",A,,,,,,,,,
72032,浩瀚,1,广阔,"大,广泛",A,,,,,,,,,
72036,浩,,浩,"大,广泛",A,,,,,,,,,
72044,无垠,,无垠,"大,广泛",A,,,,,,,,,
72048,茫,,茫,"大,广泛",A,,,,,,,,,
72050,无际,,无际,"大,广泛",A,,,,,,,,,
72052,无边无际,,无边无际,"大,广泛",A,,,,,,,,,
72073,宽,1,宽的,"长,横",A,,,,,,,,,
72075,宽,3,宽松,"大,松",A,,,,,,,,,
72078,宽广,,宽广,"大,松",A,,,,,,,,,
72080,敞,2,广泛,"大,松",A,,,,,,,,,
72081,宽松,,宽松,"松,大",A,,,,,,,,,
72089,窄,2,短窄,"短,横",A,,,,,,,,,
72094,窄小,,窄小,"空间,小,细",A,,,,,,,,,
72117,老,2,旧,旧,A,,,,,,,,,
72119,老,1,年老,"旧,生命",A,,,,,,,,,
72126,年迈,,年迈,"旧,生命",A,,,,,,,,,
72130,年轻,,年轻,"旺盛,新,生命",A,,,,,,,,,
72149,幼,1,幼小,"新,小",A,,,,,,,,,
72151,幼小,,幼小,"新,小",A,,,,,,,,,
72153,年幼,,年幼,"生命,小,新",A,,,,,,,,,
72155,稚,,稚,"新,小",A,,,,,,,,,
72159,乳,3,幼小,"生命,开始A",A,,,,,,,,,
72161,仔,,仔,"人,生长",A,,,,,,,,,
72163,雏,,雏,"鸟,小,新",A,,,,,,,,,
72168,自觉,,自觉,"主动,自己",A,,,,,,,,,
72182,乐观,,乐观,"高兴,相信,态度",A,,,,,,,,,
72185,开朗,,开朗,"容易,高兴,风格",A,,,,,,,,,
72190,朗,,朗,清楚,A,,,,,,,,,
72204,消极,,消极,"主动,反",A,,,,,,,,,
72218,冷,2,突然,突然,D,,,,,,,,,
72219,寒,,寒,冷,A,,,,,,,,,
72223,阴冷,,阴冷,"冷,光,弱",A,,,,,,,,,
72225,干冷,,干冷,"冷,水,缺少A",A,,,,,,,,,
72233,冰凉,,冰凉,冷,A,,,,,,,,,
72235,冻,2,很冷,"冷,很",A,,,,,,,,,
72236,冻,3,冻胶,"固体,变,冷",N,,,,,,,,,
72237,冷冰冰,,冷冰冰,冷,A,,,,,,,,,
72241,严寒,,严寒,"冷,很",A,,,,,,,,,
72253,刺骨,,刺骨,"痛,冷",A,,,,,,,,,
72255,凛冽,,凛冽,"冷,很",A,,,,,,,,,
72262,冽,,冽,冷,A,,,,,,,,,
72266,凉,1,稍冷,"冷,稍",A,,,,,,,,,
72274,清凉,,清凉,"冷,好,感觉",A,,,,,,,,,
72280,凉爽,,凉爽,"冷,好,感觉",A,,,,,,,,,
72293,温暖,,温暖,"热,符合A",A,,,,,,,,,
72295,暖,1,温暖,"热V,稍",A,,,,,,,,,
72297,温,2,温暖,"热,符合A",A,,,,,,,,,
72299,暖和,,暖和,"热,符合A",A,,,,,,,,,
72317,热,3,加热,热V,V,,,,,,,,,
72318,热,2,热量,"ZN,热",N,,,,,,,,,
72321,热腾腾,,热腾腾,热,A,,,,,,,,,
72323,热烘烘,,热烘烘,热,A,,,,,,,,,
72328,烫,1,(形容词),"热,痛",A,,,,,,,,,
72338,炎,,炎,"病,红",N,,,,,,,,,
72344,炽热,,炽热,"热,很",A,,,,,,,,,
72348,灼,,灼,烧,A,,,,,,,,,
72352,酷热,,酷热,"热,很",A,,,,,,,,,
72354,炽,,炽,"热,很",A,,,,,,,,,
72364,闷,1,不畅,"气,顺,不",A,,,,,,,,,
72366,闷热,,闷热,"吸,难,热",A,,,,,,,,,
72368,温热,,温热,"热,符合A",A,,,,,,,,,
72387,废,1,无用,"无A,用N",A,,,,,,,,,
72417,白,2,空(做),"无A,用N",A,,,,,,,,,
72418,空,6,白白,"无A,用N",D,,,,,,,,,
72419,干,4,徒然,"无A,用N",D,,,,,,,,,
72420,虚,2,假,假,A,,,,,,,,,
72422,白白,,白白,"无A,用N",D,,,,,,,,,
72424,徒,2,徒劳,"无A,用N",A,,,,,,,,,
72425,徒然,,徒然,"无A,用N",A,,,,,,,,,
72431,枉,,枉,"无A,用N",A,,,,,,,,,
72444,免费,,免费,"无A,需要,资金",D,,,,,,,,,
72448,无偿,,无偿,"无A,需要,得到",D,,,,,,,,,
72453,轻便,,轻便,容易,A,,,,,,,,,
72455,捷,,捷,容易,A,,,,,,,,,
72465,便,2,方便,容易,A,,,,,,,,,
72469,省事,,省事,容易,A,,,,,,,,,
72475,适用,,适用,"符合A,用",A,,,,,,,,,
72479,合用,2,适用,"符合A,用",A,,,,,,,,,
72482,中用,,中用,"有A,用N",A,,,,,,,,,
72494,行,4,能干,"强,能力",A,,,,,,,,,
72495,才行,,才行,可以,A,,,,,,,,,
72499,可行,,可行,"可以A,进行",A,,,,,,,,,
72507,有效,,有效,"有,用N",A,,,,,,,,,
72510,灵,3,灵魂,灵魂,N,,,,,,,,,
72511,灵,2,灵验,"有A,用N",A,,,,,,,,,
72512,高效,,高效,"高,数量,比,用N",A,,,,,,,,,
72520,卓有成效,,卓有成效,"有A,用N,很",A,,,,,,,,,
72530,万能,1,多能,"多,很,用N",A,,,,,,,,,
72538,全天候,,全天候,"日,全",A,,,,,,,,,
72544,民用,,民用,"用,人,普通",A,,,,,,,,,
72546,农用,,农用,"种植,行业,A用",A,,,,,,,,,
72552,不快,2,钝,"尖锐,片,不",A,,,,,,,,,
72553,不快,3,慢,"快,不",A,,,,,,,,,
72554,钝,,钝,"片,顺,尖锐,不",A,,,,,,,,,
72557,利,4,锋利,"尖锐,顺,片",A,,,,,,,,,
72558,锋利,,锋利,"尖锐,顺,片",A,,,,,,,,,
72560,锐利,,锐利,"顺,尖锐",A,,,,,,,,,
72562,锐,1,锐利,尖锐,A,,,,,,,,,
72564,尖利,,尖利,"顺,尖锐",A,,,,,,,,,
72566,生动,,生动,"灵活,主动",A,,,,,,,,,
72574,绘声绘色,,绘声绘色,"灵活,好",A,,,,,,,,,
72576,有血有肉,,有血有肉,"灵活,好",A,,,,,,,,,
72592,引人入胜,,引人入胜,"注意,特殊,使",A,,,,,,,,,
72596,令人神往,,令人神往,"去,希望,人,使",A,,,,,,,,,
72621,生硬,,生硬,"灵活,反",A,,,,,,,,,
72628,死板,,死板,"灵活,反",A,,,,,,,,,
72634,单调,,单调,"缺少A,变",A,,,,,,,,,
72636,枯燥,,枯燥,"无A,兴趣",A,,,,,,,,,
72638,乏味,,乏味,"缺少A,变",A,,,,,,,,,
72648,瘟,,瘟,"病,传,广泛,旺盛",A,,,,,,,,,
72650,干巴巴,1,死板,"假,灵活",A,,,,,,,,,
72652,千篇一律,,千篇一律,"缺少A,变",A,,,,,,,,,
72656,没趣,,没趣,"兴趣,缺少A",A,,,,,,,,,
72667,津津有味,,津津有味,兴趣A,A,,,,,,,,,
72671,逗,2,有趣,笑A,A,,,,,,,,,
72674,滑稽,,滑稽,笑A,A,,,,,,,,,
72676,可笑,,可笑,"容易,使,笑",A,,,,,,,,,
72680,有趣,,有趣,"强,兴趣",A,,,,,,,,,
72682,幽默,,幽默,"容易,使,高兴,笑",A,,,,,,,,,
72686,谐,,谐,兴趣A,A,,,,,,,,,
72690,趣,,趣,兴趣A,A,,,,,,,,,
72692,好玩,,好玩,"强,兴趣,玩",A,,,,,,,,,
72704,忙,,忙,"紧,时间",A,,,,,,,,,
72708,繁忙,,繁忙,"紧,时间",A,,,,,,,,,
72712,忙活,,忙活,"做,时间,紧",V,,,,,,,,,
72720,马不停蹄,,马不停蹄,"紧,D快",A,,,,,,,,,
72734,匆忙,,匆忙,"快,紧",A,,,,,,,,,
72742,仓惶,,仓惶,"紧,D快",A,,,,,,,,,
